Stage,Mentor,Start,End
University of Washington,University of Washington,9/1/2003,6/1/2007
Undergraduate,Staffan Bench,1/1/2006,7/1/2006
Undergraduate,Benjamin Hall,9/1/2006,6/1/2006
Oregon Health & Science University,Oregon Health & Science University,9/1/2007,12/31/2023
Graduate School,Nabil Alkayed,12/1/2007,4/1/2014
Postdoc,Paul Barnes,4/1/2014,9/15/2018
Postdoc,Sanjiv Kaul,7/1/2014,7/1/2016
Postdoc,David Ellison,7/1/2015,7/1/2018
Junior Faculty,Susan Gurley,7/1/2018,1/1/2025
University of Southern California,University of Southern California,1/1/2024,1/1/2025
Junior Faculty,Janos Peti-Peterdi,1/1/2024,1/1/2025
