#Selection name: Selection 1
#Area (µm^2): 30942047.62
Cell ID,Cluster,Transcripts,Area (µm^2)
fgopklcd-1,Cluster 3,0,131.77
lmmckbfc-1,Cluster 21,0,162.56
bfihokhj-1,Cluster 15,0,231.79
kebimaak-1,Cluster 3,0,137.73
kcbeapjo-1,Cluster 24,0,70.35
ligiinmj-1,Cluster 4,0,32.11
bbimpejl-1,Cluster 2,0,109.01
lippmoec-1,Cluster 10,0,45.88
lienjknc-1,Cluster 3,0,105.39
lidjnaai-1,Cluster 10,0,30.53
ljahchbf-1,Cluster 1,0,102.05
liekpibf-1,Cluster 1,0,122.46
liejjbpl-1,Cluster 3,0,163.87
liekmjfn-1,Cluster 1,0,137.46
liejkmpi-1,Cluster 4,0,52.79
ljagngpl-1,Cluster 1,0,199.41
lieifehc-1,Cluster 3,0,208.22
bbpglgko-1,Cluster 12,0,87.33
liehopco-1,Cluster 22,0,94.92
bbpglcbh-1,Cluster 12,0,79.97
ljahcoba-1,Cluster 4,0,71.75
liedaebh-1,Cluster 12,0,125.62
ljahadjh-1,Cluster 43,0,126.80
ljagdpin-1,Cluster 1,0,155.79
ljagdajc-1,Cluster 22,0,80.97
ljaedmnc-1,Cluster 1,0,178.23
lieemjen-1,Cluster 4,0,35.72
liefmbkp-1,Cluster 22,0,63.17
liejhnhf-1,Cluster 4,0,42.54
lielhohe-1,Cluster 2,0,187.71
liegnhmn-1,Cluster 2,0,205.01
liejelhh-1,Cluster 3,0,107.34
lieehiab-1,Cluster 3,0,158.68
liecidga-1,Cluster 3,0,155.92
liedkhdb-1,Cluster 2,0,271.30
liefjign-1,Cluster 22,0,46.42
liecpmdi-1,Cluster 13,0,27.18
bbphabhb-1,Cluster 12,0,81.82
liefpcfi-1,Cluster 1,0,153.62
bbphcdpg-1,Cluster 12,0,124.22
bbpgcndm-1,Cluster 3,0,138.77
lidkmpop-1,Cluster 1,0,182.07
liecfekm-1,Cluster 12,0,141.79
lielhlbd-1,Cluster 2,0,158.68
lidjgoig-1,Cluster 3,0,67.42
ljalnjbj-1,Cluster 5,0,52.65
lielecjl-1,Cluster 1,0,103.95
liekgbkb-1,Cluster 1,0,138.81
ljaidmno-1,Cluster 1,0,109.55
ljajoemm-1,Cluster 43,0,48.59
lieloecm-1,Cluster 4,0,74.78
liellabi-1,Cluster 4,0,51.30
bbphkpcn-1,Cluster 3,0,150.01
ljacjanf-1,Cluster 4,0,41.77
ljahgddk-1,Cluster 1,0,198.42
lielmalk-1,Cluster 12,0,169.83
bbgapang-1,Cluster 1,0,97.76
ljambcka-1,Cluster 1,0,216.30
lieljmon-1,Cluster 5,0,55.54
bbphflhg-1,Cluster 3,0,70.31
oiefkoob-1,Cluster 25,0,12.24
lieapgko-1,Cluster 1,0,104.27
lielpnpc-1,Cluster 1,0,146.31
liehhbcd-1,Cluster 1,0,140.66
ljalaooa-1,Cluster 1,0,213.77
ljakbppp-1,Cluster 13,0,159.63
ljadaigd-1,Cluster 1,0,136.87
ljadngaf-1,Cluster 1,0,184.37
ljadpnen-1,Cluster 5,0,10.39
ljfenpmd-1,Cluster 11,0,85.21
ljfeoomm-1,Cluster 1,0,152.27
ljahlpph-1,Cluster 1,0,137.91
lidnchbi-1,Cluster 12,0,176.02
bbphdmjd-1,Cluster 17,0,82.73
ljadacio-1,Cluster 1,0,153.40
liconoge-1,Cluster 11,0,142.15
licoobib-1,Cluster 12,0,68.95
liflhgji-1,Cluster 11,0,61.55
lidkopmn-1,Cluster 13,0,20.32
licnmnik-1,Cluster 12,0,139.35
liclaega-1,Cluster 3,0,95.46
lidjiifj-1,Cluster 12,0,61.59
liciomfc-1,Cluster 19,0,41.27
licpjjoo-1,Cluster 3,0,188.75
lifknddh-1,Cluster 3,0,110.99
lifkfmbe-1,Cluster 12,0,106.79
licpogon-1,Cluster 12,0,126.57
bbobeckf-1,Cluster 12,0,61.19
licipfbg-1,Cluster 22,0,27.82
licipdjn-1,Cluster 14,0,22.08
bbnpjclf-1,Cluster 3,0,89.68
bboahpjn-1,Cluster 3,0,126.12
bbnopjdd-1,Cluster 12,0,75.46
bbnogkkf-1,Cluster 1,0,91.04
bboackcb-1,Cluster 3,0,114.34
licnbipj-1,Cluster 5,0,78.71
liclenea-1,Cluster 12,0,93.65
bbodmfeh-1,Cluster 3,0,103.36
bbnpjngi-1,Cluster 3,0,96.05
bbobpjii-1,Cluster 2,0,95.28
bboclcep-1,Cluster 12,0,89.77
bbodgpnj-1,Cluster 19,0,36.94
liflkcfl-1,Cluster 14,0,26.87
lifhpeca-1,Cluster 22,0,162.07
licleepk-1,Cluster 13,0,41.05
liflmnec-1,Cluster 22,0,47.01
bbodhmga-1,Cluster 12,0,88.73
lifibgdo-1,Cluster 22,0,112.48
lifigbjp-1,Cluster 22,0,133.39
lifianke-1,Cluster 3,0,229.12
lifibjjb-1,Cluster 12,0,99.21
bboaomeh-1,Cluster 3,0,94.65
liclcopc-1,Cluster 19,0,65.84
lidhefha-1,Cluster 3,0,258.11
lidblelh-1,Cluster 10,0,31.97
bbndolal-1,Cluster 19,0,66.92
lifhcbkm-1,Cluster 12,0,84.85
lidmhmnc-1,Cluster 5,0,74.37
bbndfpej-1,Cluster 3,0,122.33
liddockj-1,Cluster 1,0,105.58
lifljfpn-1,Cluster 3,0,223.25
lidapodf-1,Cluster 5,0,58.34
lidedfgi-1,Cluster 3,0,142.74
bbokpnjo-1,Cluster 3,0,154.12
liddpjoc-1,Cluster 1,0,114.92
lifliaje-1,Cluster 1,0,99.21
lidgmkeg-1,Cluster 3,0,103.23
lidmhbim-1,Cluster 4,0,70.53
lidmjhnj-1,Cluster 4,0,29.13
lifhhkff-1,Cluster 13,0,47.05
lifljcko-1,Cluster 11,0,94.02
liddflhg-1,Cluster 1,0,178.64
lifhpcoj-1,Cluster 10,0,24.93
liddfbhe-1,Cluster 1,0,65.84
lidjmjdo-1,Cluster 1,0,126.30
lifnhbcp-1,Cluster 5,0,123.14
lidaakeh-1,Cluster 1,0,199.86
lidddokc-1,Cluster 1,0,95.64
bbneicph-1,Cluster 1,0,116.55
licolkpo-1,Cluster 1,0,102.10
lidjipnd-1,Cluster 1,0,145.04
bbobcbil-1,Cluster 1,0,69.50
lidalgac-1,Cluster 11,0,83.27
lidadopa-1,Cluster 11,0,89.50
bbnednde-1,Cluster 3,0,143.73
bbobepdb-1,Cluster 1,0,119.17
lidkmpph-1,Cluster 1,0,202.75
licpjhgn-1,Cluster 1,0,181.21
licogbkd-1,Cluster 3,0,174.75
lifjbdfp-1,Cluster 3,0,155.65
ljakclcc-1,Cluster 13,0,39.78
bbffbehl-1,Cluster 17,0,108.65
bbfelakn-1,Cluster 3,0,93.07
ljamdngi-1,Cluster 1,0,72.30
ljamfhfd-1,Cluster 1,0,198.69
ljamkgcc-1,Cluster 11,0,97.45
ljbppdad-1,Cluster 4,0,70.13
ljfhkapf-1,Cluster 4,0,71.39
bbgjcifh-1,Cluster 2,0,89.36
ljaoaloj-1,Cluster 1,0,131.09
bbfecmcg-1,Cluster 2,0,130.00
bbgjhidh-1,Cluster 2,0,151.59
bbgjjifn-1,Cluster 2,0,106.52
bbgjmjlc-1,Cluster 17,0,106.98
bbfnafnl-1,Cluster 17,0,70.35
ljanbege-1,Cluster 1,0,107.79
ljffcbgk-1,Cluster 17,0,102.69
bbgjnkfk-1,Cluster 2,0,149.06
ljfgpigj-1,Cluster 1,0,130.10
ljfhghhf-1,Cluster 11,0,63.63
bbfmhkhm-1,Cluster 17,0,66.74
ljajiljj-1,Cluster 13,0,29.62
ljanhkbh-1,Cluster 1,0,162.79
ljanbhjb-1,Cluster 1,0,179.81
ljfgommi-1,Cluster 13,0,59.56
ljfgodne-1,Cluster 1,0,92.62
ljfdlcik-1,Cluster 1,0,93.02
ljfdjjhm-1,Cluster 3,0,90.27
ljbgoipe-1,Cluster 2,0,190.20
ljcbljfe-1,Cluster 4,0,45.43
ljcbcpka-1,Cluster 12,0,84.58
ljcallgf-1,Cluster 28,0,48.41
ljccakde-1,Cluster 3,0,194.67
bbfnmgcm-1,Cluster 2,0,153.40
ljaobooa-1,Cluster 3,0,103.45
bbfngdmd-1,Cluster 19,0,40.19
ljbglcbp-1,Cluster 4,0,30.53
ljbgjckh-1,Cluster 10,0,24.47
ljbplbca-1,Cluster 19,0,32.29
bbffmlnp-1,Cluster 3,0,120.21
ljccljjn-1,Cluster 26,0,22.49
bbfecdip-1,Cluster 17,0,85.35
ljcchfbe-1,Cluster 26,0,51.97
bbhadkid-1,Cluster 3,0,122.78
bbhaefog-1,Cluster 17,0,78.98
ljccpihg-1,Cluster 26,0,34.09
bbgkpjmn-1,Cluster 24,0,66.70
ljccloml-1,Cluster 10,0,29.67
ljccoecg-1,Cluster 24,0,75.68
bbhadnci-1,Cluster 2,0,130.73
bbffgfle-1,Cluster 2,0,146.44
ljaodejn-1,Cluster 5,0,42.27
ljcbgoio-1,Cluster 24,0,104.94
ljaookak-1,Cluster 4,0,44.61
oiegngfm-1,Cluster 25,0,13.41
ljcbfain-1,Cluster 14,0,24.57
ljcajbll-1,Cluster 28,0,116.14
bbgjmnfe-1,Cluster 2,0,152.13
lienpjnp-1,Cluster 3,0,133.48
bbokifoe-1,Cluster 1,0,124.13
bbomaipd-1,Cluster 3,0,64.26
bbgeabna-1,Cluster 2,0,103.59
bbpipfnf-1,Cluster 2,0,103.05
lidojkjl-1,Cluster 13,0,38.11
liebnhhj-1,Cluster 3,0,123.46
lieaefnb-1,Cluster 4,0,56.17
bbpijgco-1,Cluster 3,0,111.22
lidoieho-1,Cluster 13,0,31.07
liebjhbj-1,Cluster 3,0,356.46
bbgellnf-1,Cluster 2,0,111.81
oiefkcej-1,Cluster 11,0,38.20
bbpjmahc-1,Cluster 2,0,100.20
lieakjjj-1,Cluster 4,0,41.68
liebokdm-1,Cluster 17,0,109.14
liencapi-1,Cluster 4,0,61.41
bbgegdjj-1,Cluster 1,0,78.03
bbgddfme-1,Cluster 3,0,114.97
bbgekjab-1,Cluster 2,0,106.61
bbgaljlf-1,Cluster 3,0,95.55
bbpibjcm-1,Cluster 2,0,137.59
bbgdnalp-1,Cluster 2,0,121.24
lidhghdi-1,Cluster 10,0,91.58
bbgcjpag-1,Cluster 19,0,21.27
bbfnbegj-1,Cluster 19,0,19.78
lidfofjn-1,Cluster 1,0,214.85
bbgdbchf-1,Cluster 17,0,67.64
lidfecca-1,Cluster 1,0,169.61
lidnjfao-1,Cluster 1,0,218.29
lidniabg-1,Cluster 4,0,74.60
bbgdnhpd-1,Cluster 3,0,166.31
lidfdcpf-1,Cluster 1,0,204.06
bbolajme-1,Cluster 3,0,145.31
bbfmgmdo-1,Cluster 2,0,225.92
bbfmciaf-1,Cluster 2,0,162.97
lidegnem-1,Cluster 1,0,145.72
lieaghil-1,Cluster 43,0,35.76
lidhmiem-1,Cluster 2,0,240.46
lipodddn-1,Cluster 2,0,289.99
ljaaniom-1,Cluster 26,0,32.42
bbfngcei-1,Cluster 28,0,40.51
liimmpbi-1,Cluster 26,0,16.30
liebchhi-1,Cluster 10,0,24.88
bbgfaicm-1,Cluster 24,0,117.00
lieohapb-1,Cluster 3,0,107.25
licfamed-1,Cluster 1,0,159.13
liincdkd-1,Cluster 11,0,92.03
lifbfimk-1,Cluster 31,0,70.90
licfamjp-1,Cluster 11,0,102.64
liimkcdl-1,Cluster 22,0,70.40
liimlipo-1,Cluster 11,0,75.46
licfcenk-1,Cluster 11,0,68.82
lieocfkb-1,Cluster 3,0,94.06
licfdajc-1,Cluster 11,0,73.65
