"cell_id","group"
"aaaabpmi-1","16"
"aaaafgfh-1","8"
"aaabplpa-1","1"
"aaacfgfg-1","6"
"aaacfobd-1","1"
"aaacoigo-1","1"
"aaaddgmd-1","3"
"aaadgnle-1","8"
"aaadilmp-1","8"
"aaadnhgm-1","1"
"aaadpedg-1","8"
"aaaeaajo-1","8"
"aaaeapdg-1","1"
"aaaedncf-1","36"
"aaaegbdm-1","1"
"aaaehbhk-1","1"
"aaaepnmg-1","1"
"aaafakmd-1","8"
"aaafgdah-1","8"
"aaafiiji-1","7"
"aaafmabj-1","1"
"aaagbdfl-1","1"
"aaahddhh-1","1"
"aaaheikh-1","1"
"aaahgccl-1","7"
"aaahlnno-1","1"
"aaahmkho-1","1"
"aaahngfc-1","1"
"aaaiegpn-1","1"
"aaaijfmg-1","8"
"aaaimggb-1","11"
"aaajhcem-1","24"
"aaajneeb-1","5"
"aaakacej-1","1"
"aaakmkfa-1","1"
"aaalcbgl-1","6"
"aaalcgaf-1","1"
"aaalckpe-1","8"
"aaaloacl-1","8"
"aaamglai-1","11"
"aaamjabo-1","8"
"aaamklac-1","11"
"aaammigb-1","11"
"aaamnhjm-1","11"
"aaankgdn-1","8"
"aaanmhcn-1","8"
"aaanobho-1","8"
"aaaohgbc-1","8"
"aaaokpnb-1","22"
"aaaoooci-1","36"
"aaaoplig-1","23"
"aaapmkol-1","22"
"aabaaipl-1","23"
"aabaapba-1","23"
"aabanbll-1","24"
"aabbbimk-1","23"
"aabbhedh-1","24"
"aabcjbkp-1","36"
"aabdbake-1","23"
"aabdfigo-1","22"
"aabdikob-1","41"
"aabdnnlh-1","23"
"aabeappk-1","32"
"aabebagf-1","41"
"aabeecia-1","41"
"aabfapdd-1","6"
"aabfddfl-1","16"
"aabfebbe-1","0"
"aabgbcii-1","1"
"aabgjlga-1","1"
"aabglaek-1","16"
"aabglcfc-1","1"
"aabgmnec-1","7"
"aabhmocb-1","6"
"aabiadhd-1","6"
"aabiamef-1","7"
"aabigjib-1","1"
"aabihnja-1","7"
"aabiknpn-1","1"
"aabinjid-1","7"
"aabjpnpi-1","1"
"aabkfchi-1","7"
"aabkipmn-1","7"
"aablfdlk-1","3"
"aabmbfpm-1","7"
"aabmhbbi-1","7"
"aabnajno-1","6"
"aabnpkmj-1","7"
"aabojgif-1","16"
"aaboogij-1","1"
"aabpdmlp-1","6"
"aabphhpc-1","6"
"aabplagi-1","1"
"aacahmlb-1","8"
"aacaiijf-1","1"
"aacajhoe-1","3"
"aacbgbmb-1","7"
"aaccgmcb-1","1"
"aaccgopf-1","1"
"aacchoaa-1","5"
"aacdggno-1","5"
"aacdnell-1","3"
"aacecegi-1","36"
"aacfakoo-1","8"
"aacffkll-1","23"
"aacflhmb-1","23"
"aacfpdgp-1","5"
"aacfpoal-1","7"
"aacgchnm-1","3"
"aacgcmfd-1","1"
"aacgihhj-1","9"
"aacgijgh-1","24"
"aacicgaf-1","51"
"aacjckoo-1","51"
"aacjdooo-1","23"
"aacjlapb-1","9"
"aackggci-1","7"
"aaclldeh-1","1"
"aacnjifn-1","6"
"aacplhbj-1","1"
"aacpmimb-1","24"
"aacpnmha-1","6"
"aacppokd-1","6"
"aadahoki-1","1"
"aadalcko-1","1"
"aadbjjmk-1","1"
"aadcahca-1","7"
"aadcihhm-1","23"
"aadcneei-1","36"
"aaddpmfi-1","1"
"aadeabea-1","5"
"aadebhea-1","5"
"aadebkji-1","22"
"aadefghp-1","11"
"aadefkeo-1","7"
"aadeialb-1","11"
"aadeloff-1","32"
"aadepdcp-1","1"
"aadepdnk-1","7"
"aadfgcme-1","7"
"aadgahag-1","8"
"aadgbcgf-1","3"
"aadgjgpa-1","36"
"aadgoidn-1","8"
"aadhdbfk-1","8"
"aadheldc-1","8"
"aadhhhpi-1","11"
"aadhjnlg-1","3"
"aadhkbem-1","3"
"aadhoggf-1","8"
"aadieipc-1","5"
"aadifafj-1","5"
"aadigenp-1","5"
"aadipbnh-1","3"
"aadjakmm-1","8"
"aadjpeko-1","1"
"aadkcbcc-1","8"
"aadlbljk-1","1"
"aadlbmip-1","5"
"aadldklk-1","1"
"aadldmdi-1","1"
"aadleccf-1","8"
"aadmbljo-1","11"
"aadnffeg-1","11"
"aadodnal-1","11"
"aaeakien-1","1"
"aaealpnb-1","7"
"aaeapjmo-1","7"
"aaebcimd-1","5"
"aaeblcio-1","1"
"aaecimnl-1","1"
"aaedamga-1","1"
"aaedgelh-1","5"
"aaedihhc-1","5"
"aaedlnjb-1","6"
"aaeecfod-1","1"
"aaeemlfd-1","1"
"aaefhpfc-1","1"
"aaeficla-1","23"
"aaefliao-1","8"
"aaegabed-1","8"
"aaegcmmc-1","23"
"aaegeajo-1","5"
"aaehaejo-1","1"
"aaehdapj-1","5"
"aaehonbi-1","8"
"aaeigloj-1","1"
"aaeiomkn-1","8"
"aaeipjge-1","8"
"aaejciof-1","8"
"aaekjnbb-1","3"
"aaekoihl-1","3"
"aaelpidd-1","7"
"aaemipja-1","8"
"aaemljim-1","3"
"aaemmpnh-1","36"
"aaenbgme-1","23"
"aaenebmj-1","23"
"aaenfkbn-1","8"
"aaeniahd-1","22"
"aaenlapl-1","36"
"aaeobpcd-1","3"
"aaeomkda-1","8"
"aaepckia-1","3"
"aaepljgp-1","11"
"aafaehio-1","23"
"aafafmio-1","8"
"aafagkin-1","36"
"aafaiedg-1","16"
"aafajeee-1","6"
"aafakddi-1","1"
"aafapepo-1","7"
"aafbfamo-1","1"
"aafbglan-1","2"
"aafcacjp-1","2"
"aafccghh-1","1"
"aafceljd-1","1"
"aafckdff-1","7"
"aafdadpf-1","1"
"aafdenpf-1","3"
"aafefodh-1","1"
"aafekmch-1","8"
"aaffafnh-1","1"
"aaffiakh-1","5"
"aafgblba-1","7"
"aafgcilc-1","1"
"aafgdeam-1","5"
"aafgflbf-1","5"
"aafhamhl-1","23"
"aafhfppg-1","41"
"aafhgffn-1","1"
"aafhiabn-1","1"
"aafhndno-1","5"
"aafieedb-1","5"
"aafihiae-1","7"
"aafilajp-1","1"
"aafinelk-1","1"
"aafjclhe-1","8"
"aafjjapn-1","1"
"aafjpnip-1","1"
"aafkbbkd-1","5"
"aafkpklg-1","1"
"aafldjnp-1","5"
"aaflegng-1","5"
"aaflibdf-1","1"
"aafljlac-1","3"
"aafmhkkg-1","8"
"aafmmaao-1","3"
"aafmoadi-1","6"
"aafnckik-1","30"
"aafnjihn-1","6"
"aafnmcbm-1","16"
"aafnnpof-1","8"
"aafocbak-1","6"
"aafoddjo-1","6"
"aafohacc-1","7"
"aafojfom-1","1"
"aafpnnkn-1","8"
"aagaecce-1","6"
"aagakpea-1","8"
"aagbammc-1","34"
"aagbclpm-1","0"
"aagbehkp-1","3"
"aagbfejf-1","1"
"aagbpjof-1","1"
"aagcbdje-1","8"
"aagciabl-1","1"
"aagcmdng-1","1"
"aagcppbl-1","6"
"aagdjhao-1","6"
"aagdjnfb-1","6"
"aagdnlgi-1","16"
"aagejcff-1","5"
"aagejoah-1","1"
"aagennml-1","11"
"aagfhljd-1","1"
"aagfjgip-1","6"
"aagfpijb-1","1"
"aaghbefa-1","11"
"aaghbgef-1","1"
"aaghdhao-1","1"
"aagijigg-1","1"
"aagilndk-1","1"
"aagjglll-1","9"
"aagkflbf-1","9"
"aagkgkmg-1","4"
"aagkngmk-1","20"
"aaglaegl-1","6"
"aaglbgpc-1","1"
"aaglgafo-1","24"
"aaglgdld-1","22"
"aaglgjbd-1","20"
"aagliccj-1","11"
"aagmaljk-1","6"
"aagmochh-1","8"
"aagnigij-1","16"
"aagnpjmi-1","3"
"aagoamhi-1","16"
"aagocidi-1","1"
"aagodhkm-1","6"
"aagoefed-1","16"
"aagogkkj-1","7"
"aagokomp-1","5"
"aagoldad-1","1"
"aagookfo-1","1"
"aagppegn-1","6"
"aahafmng-1","6"
"aahcbpmd-1","6"
"aahcojfh-1","1"
"aahdbohn-1","1"
"aahdppnh-1","1"
"aahegldi-1","16"
"aahekgle-1","1"
"aahelccg-1","1"
"aahemdej-1","7"
"aaheomfl-1","1"
"aahfbnoo-1","22"
"aahfdpbg-1","36"
"aahffacg-1","8"
"aahfnbhg-1","23"
"aahggccn-1","23"
"aahhhnoe-1","22"
"aahhlaaa-1","7"
"aahijogd-1","8"
"aahjkicg-1","7"
"aahkcadc-1","7"
"aahkfffc-1","1"
"aahkfjpm-1","5"
"aahkgdgf-1","24"
"aahkiecp-1","7"
"aahkihgk-1","24"
"aahlcndf-1","24"
"aahmhgfo-1","24"
"aahmkdkm-1","24"
"aahmpbia-1","22"
"aahnhike-1","7"
