"cell_id","group"
"aaaabpmi-1","PTS2"
"aaaafgfh-1","PTS1"
"aaabplpa-1","PTS2"
"aaacfgfg-1","PTS2"
"aaacfobd-1","PTS2"
"aaacoigo-1","PTS2"
"aaaddgmd-1","PTS1"
"aaadgnle-1","PTS1"
"aaadilmp-1","PTS1"
"aaadnhgm-1","PTS2"
"aaadpedg-1","PTS1"
"aaaeaajo-1","PTS1"
"aaaeapdg-1","PTS2"
"aaaedncf-1","ICB"
"aaaegbdm-1","PTS2"
"aaaehbhk-1","PTS2"
"aaaepnmg-1","PTS2"
"aaafakmd-1","PTS1"
"aaafgdah-1","PTS1"
"aaafiiji-1","PTS2"
"aaafmabj-1","PTS2"
"aaagbdfl-1","PTS2"
"aaahddhh-1","PTS2"
"aaaheikh-1","PTS2"
"aaahgccl-1","PTS2"
"aaahlnno-1","PTS2"
"aaahmkho-1","PTS2"
"aaahngfc-1","PTS2"
"aaaiegpn-1","PTS2"
"aaaijfmg-1","PTS1"
"aaaimggb-1","PTS1"
"aaajhcem-1","PTS1"
"aaajneeb-1","PTS2"
"aaakacej-1","PTS2"
"aaakmkfa-1","PTS2"
"aaalcbgl-1","PTS2"
"aaalcgaf-1","PTS2"
"aaalckpe-1","PTS1"
"aaaloacl-1","PTS1"
"aaamglai-1","PTS1"
"aaamjabo-1","PTS1"
"aaamklac-1","PTS1"
"aaammigb-1","PTS1"
"aaamnhjm-1","PTS1"
"aaankgdn-1","PTS1"
"aaanmhcn-1","PTS1"
"aaanobho-1","PTS1"
"aaaohgbc-1","PTS1"
"aaaokpnb-1","ICA"
"aaaoooci-1","ICB"
"aaaoplig-1","CNT"
"aaapmkol-1","ICA"
"aabaaipl-1","CNT"
"aabaapba-1","CNT"
"aabanbll-1","PTS1"
"aabbbimk-1","CNT"
"aabbhedh-1","PTS1"
"aabcjbkp-1","ICB"
"aabdbake-1","CNT"
"aabdfigo-1","ICA"
"aabdikob-1","DCT2"
"aabdnnlh-1","CNT"
"aabeappk-1","DCT1"
"aabebagf-1","DCT2"
"aabeecia-1","DCT2"
"aabfapdd-1","PTS2"
"aabfddfl-1","PTS2"
"aabfebbe-1","EC"
"aabgbcii-1","PTS2"
"aabgjlga-1","PTS2"
"aabglaek-1","PTS2"
"aabglcfc-1","PTS2"
"aabgmnec-1","PTS2"
"aabhmocb-1","PTS2"
"aabiadhd-1","PTS2"
"aabiamef-1","PTS2"
"aabigjib-1","PTS2"
"aabihnja-1","PTS2"
"aabiknpn-1","PTS2"
"aabinjid-1","PTS2"
"aabjpnpi-1","PTS2"
"aabkfchi-1","PTS2"
"aabkipmn-1","PTS2"
"aablfdlk-1","PTS1"
"aabmbfpm-1","PTS2"
"aabmhbbi-1","PTS2"
"aabnajno-1","PTS2"
"aabnpkmj-1","PTS2"
"aabojgif-1","PTS2"
"aaboogij-1","PTS2"
"aabpdmlp-1","PTS2"
"aabphhpc-1","PTS2"
"aabplagi-1","PTS2"
"aacahmlb-1","PTS1"
"aacaiijf-1","PTS2"
"aacajhoe-1","PTS1"
"aacbgbmb-1","PTS2"
"aaccgmcb-1","PTS2"
"aaccgopf-1","PTS2"
"aacchoaa-1","PTS2"
"aacdggno-1","PTS2"
"aacdnell-1","PTS1"
"aacecegi-1","ICB"
"aacfakoo-1","PTS1"
"aacffkll-1","CNT"
"aacflhmb-1","CNT"
"aacfpdgp-1","PTS2"
"aacfpoal-1","PTS2"
"aacgchnm-1","PTS1"
"aacgcmfd-1","PTS2"
"aacgihhj-1","TALA"
"aacgijgh-1","PTS1"
"aacicgaf-1","MD"
"aacjckoo-1","MD"
"aacjdooo-1","CNT"
"aacjlapb-1","TALA"
"aackggci-1","PTS2"
"aaclldeh-1","PTS2"
"aacnjifn-1","PTS2"
"aacplhbj-1","PTS2"
"aacpmimb-1","PTS1"
"aacpnmha-1","PTS2"
"aacppokd-1","PTS2"
"aadahoki-1","PTS2"
"aadalcko-1","PTS2"
"aadbjjmk-1","PTS2"
"aadcahca-1","PTS2"
"aadcihhm-1","CNT"
"aadcneei-1","ICB"
"aaddpmfi-1","PTS2"
"aadeabea-1","PTS2"
"aadebhea-1","PTS2"
"aadebkji-1","ICA"
"aadefghp-1","PTS1"
